bacteria,drug,resistance_representable,maximum_any_r,positive_effect_mechanisms
enterococcus_faecium,clarithromycin,true,0.98,target_site_erm_b;mutation_23s_rrna
enterococcus_faecium,clindamycin,true,0.97,target_site_erm_b;target_site_cfr
enterococcus_faecium,gentamicin,true,0.85,enzyme_aac_aph
enterococcus_faecium,tobramycin,false,0,
enterococcus_faecium,amikacin,false,0,
enterococcus_faecium,ciprofloxacin,true,0.9744999999999999,mutation_gyra_primary;mutation_gyra_parc_secondary;global_efflux_pump
enterococcus_faecium,levofloxacin,true,0.95,mutation_gyra_parc_secondary
enterococcus_faecium,moxifloxacin,true,0.95,mutation_gyra_parc_secondary
enterococcus_faecium,ofloxacin,true,0.97,mutation_gyra_primary;mutation_gyra_parc_secondary
enterococcus_faecium,tetracycline,true,0.915,global_efflux_pump;protection_tet_m
enterococcus_faecium,doxycycline,true,0.915,global_efflux_pump;protection_tet_m
enterococcus_faecium,minocycline,true,0.915,global_efflux_pump;protection_tet_m
enterococcus_faecium,tigecycline,true,0.15000000000000002,global_efflux_pump
enterococcus_faecium,vancomycin,true,0.997,target_site_van_a;target_site_van_b
enterococcus_faecium,teicoplanin,true,0.99,target_site_van_a
enterococcus_faecium,dalbavancin,true,0.99,target_site_van_a
enterococcus_faecium,linezolid,true,0.985,target_site_cfr;mutation_23s_rrna_oxazolidinone
enterococcus_faecium,tedizolid,true,0.985,target_site_cfr;mutation_23s_rrna_oxazolidinone
enterococcus_faecium,daptomycin,true,0.75,mutation_liafsr_cls
enterococcus_faecium,quinu_dalfo,true,0.9,target_site_erm_b
enterococcus_faecium,trim_sulf,true,0.85,mutation_folate_pathway
enterococcus_faecium,chloramphenicol,true,0.9744999999999999,target_site_cfr;enzyme_cat;global_efflux_pump
enterococcus_faecium,nitrofurantoin,true,0.7,mutation_nitroreductase
enterococcus_faecium,fosfomycin,true,0.8,enzyme_fos
enterococcus_faecium,retapamulin,false,0,
enterococcus_faecium,fusidic_a,false,0,
enterococcus_faecium,metronidazole,false,0,
