timestamp,population_size,time_steps,duration_seconds
2025-09-11 17:00:42 UTC,500,3000,35.094
2025-09-11 17:02:00 UTC,500,3000,35.183
2025-09-11 17:03:15 UTC,500,3000,36.668
2025-09-11 17:07:00 UTC,500,3000,34.776
2025-09-11 17:10:00 UTC,500,3000,33.522
2025-09-11 17:11:09 UTC,500,3000,35.243
2025-09-11 17:12:23 UTC,500,3000,36.377
2025-09-11 17:13:55 UTC,500,3000,35.636
2025-09-11 17:15:45 UTC,500,3000,36.721
2025-09-11 17:17:03 UTC,500,3000,36.325
2025-09-11 17:19:27 UTC,500,3000,36.178
2025-09-11 17:20:51 UTC,500,3000,36.634
2025-09-11 17:23:00 UTC,500,3000,37.075
2025-09-11 17:24:17 UTC,500,3000,37.848
2025-09-11 17:26:37 UTC,500,3000,35.887
2025-09-11 17:28:40 UTC,500,3000,35.288
2025-09-11 17:30:37 UTC,500,3000,36.792
2025-09-11 17:33:16 UTC,500,3000,35.458
2025-09-11 17:36:42 UTC,500,3000,34.162
2025-09-11 17:39:13 UTC,500,3000,83.986
2025-09-11 17:45:57 UTC,500,3000,76.459
2025-09-12 06:33:15 UTC,500,3000,34.148
2025-09-12 07:43:57 UTC,1000,10000,152.624
2025-09-12 08:09:31 UTC,1000,4000,57.510
2025-09-12 09:45:53 UTC,5000,38325,5700.840
2025-09-12 10:52:50 UTC,5000,38325,3543.199
2025-09-12 13:07:51 UTC,2000,4000,8.058
2025-09-13 08:38:29 UTC,5000,38325,420.395
2025-09-13 09:38:15 UTC,1000,3000,28.064
2025-09-13 09:47:31 UTC,1000,3000,18.955
2025-09-13 10:30:38 UTC,1000,3000,18.488
2025-09-14 08:48:56 UTC,1000,3000,18.649
2025-09-14 14:20:20 UTC,5000,38325,4182.059
2025-09-15 00:45:49 UTC,100000,38325,34529.078
2025-09-15 10:55:04 UTC,5000,38325,10660.485
2025-09-16 08:58:06 UTC,5000,38325,5271.328
2025-09-17 04:27:41 UTC,100000,38325,37879.337
2025-09-17 12:19:10 UTC,1000,38325,1377.036
2025-09-18 04:38:04 UTC,100000,38325,38877.645
2025-09-22 01:58:59 UTC,100000,38325,37328.685
2025-09-24 08:09:38 UTC,1000,300,40.225
2025-09-24 11:23:41 UTC,2000,38325,2809.459
2025-09-24 13:50:05 UTC,3000,38325,3220.811
2025-09-25 04:11:58 UTC,100000,38325,38045.624
2025-09-27 12:51:54 UTC,1000,5000,55.517
2025-09-27 12:55:43 UTC,1000,5000,55.276
2025-09-27 12:58:04 UTC,1000,5000,65.850
2025-09-27 13:02:03 UTC,1000,10,0.340
2025-09-27 13:04:22 UTC,1000,10,0.389
2025-09-27 13:07:56 UTC,2000,5000,93.380
2025-09-27 13:56:37 UTC,2000,5000,60.623
2025-09-27 16:29:52 UTC,2000,5000,119.837
2025-09-27 16:41:53 UTC,1000,10000,88.261
2025-09-28 07:46:58 UTC,10000,38325,5987.369
2025-09-28 09:28:33 UTC,1000,10000,82.767
2025-09-28 09:48:28 UTC,1000,38325,982.763
2025-09-28 12:52:08 UTC,20000,38325,9977.068
2025-09-28 16:07:14 UTC,1000,10000,116.973
2025-09-29 02:54:28 UTC,100000,38325,38432.541
2025-09-29 06:44:06 UTC,1000,38325,1359.700
2025-09-29 07:08:50 UTC,1000,25000,739.645
2025-09-29 08:05:02 UTC,1000,25000,1020.807
2025-09-29 12:18:20 UTC,1000,25000,2115.137
2025-09-29 13:47:54 UTC,1000,25000,1030.356
2025-09-29 14:06:39 UTC,1000,15000,504.219
2025-09-29 14:19:12 UTC,1000,15000,350.870
2025-09-29 14:28:55 UTC,300,15000,209.370
2025-09-29 14:35:46 UTC,300,10000,116.865
2025-09-29 14:47:07 UTC,300,10000,155.315
2025-09-29 14:52:21 UTC,300,5000,95.823
2025-09-29 15:06:42 UTC,300,5000,130.556
2025-09-29 16:25:41 UTC,300,5000,57.919
2025-09-29 16:34:48 UTC,300,10000,248.553
2025-09-29 17:22:31 UTC,300,10000,991.540
2025-09-30 07:07:24 UTC,2000,38325,5158.259
2025-09-30 07:14:11 UTC,100000,100,38.409
2025-09-30 07:15:42 UTC,100000,100,38.902
2025-09-30 07:21:43 UTC,500000,100,235.422
2025-09-30 14:15:02 UTC,2000,25000,942.850
2025-09-30 16:11:10 UTC,5000,15000,743.414
2025-10-01 16:48:20 UTC,5000,5000,599.922
2025-10-02 09:12:04 UTC,300,38325,4281.508
2025-10-02 11:45:29 UTC,5000,100,31.911
2025-10-02 15:12:58 UTC,300,38325,2915.728
2025-10-02 16:54:04 UTC,300,38325,2736.305
2025-10-04 09:40:28 UTC,100,38325,960.219
2025-10-04 10:01:03 UTC,100,15000,282.870
2025-10-04 11:57:03 UTC,300,38325,2267.552
2025-10-05 14:13:29 UTC,5000,38325,22663.088
2025-10-05 14:43:42 UTC,500,5000,263.079
2025-10-05 14:52:53 UTC,500,5000,21.298
2025-10-05 14:54:57 UTC,500,5000,22.017
2025-10-05 14:57:22 UTC,500,5001,21.104
2025-10-05 15:01:48 UTC,500,3000,12.965
2025-10-05 15:17:44 UTC,500,38325,613.526
2025-10-05 16:06:29 UTC,300,38325,284.890
2025-10-06 01:52:21 UTC,80000,38325,30539.884
2025-10-06 06:54:27 UTC,300,38325,344.118
2025-10-06 09:38:42 UTC,300,15000,218.197
2025-10-06 13:12:57 UTC,1000,38325,2578.071
2025-10-07 06:55:53 UTC,300,15000,56.750
2025-10-07 15:50:02 UTC,2000,38325,1037.762
2025-10-07 22:04:35 UTC,50000,38325,16881.878
2025-10-08 07:32:06 UTC,1000,38325,1844.992
2025-10-08 09:36:10 UTC,2000,15000,280.715
2025-10-08 09:54:11 UTC,5000,10000,364.902
2025-10-08 10:59:54 UTC,8000,10000,1278.734
2025-10-08 12:12:06 UTC,10000,20000,3367.604
2025-10-08 17:28:42 UTC,100,20000,34.942
2025-10-09 06:07:42 UTC,2000,38325,1687.151
2025-10-10 05:58:06 UTC,1000,38325,1170.495
2025-10-10 11:04:49 UTC,3000,38325,2124.361
2025-10-10 14:34:05 UTC,3000,38325,3184.831
2025-10-10 16:17:08 UTC,1000,38325,782.022
2025-10-11 04:10:02 UTC,50000,38325,36665.804
2025-10-11 09:33:08 UTC,300,38325,369.113
2025-10-11 12:54:25 UTC,3000,38325,2779.134
2025-10-11 16:52:32 UTC,1000,38325,1531.388
2025-10-11 17:10:39 UTC,200,38325,444.674
2025-10-12 00:31:21 UTC,50000,38325,25687.320
2025-10-13 03:57:44 UTC,100000,38325,52551.358
2025-10-13 07:15:34 UTC,3000,38325,2860.416
2025-10-13 13:32:18 UTC,3000,38325,2387.773
2025-10-14 10:03:58 UTC,3000,38325,2906.688
2025-10-14 10:22:53 UTC,3000,38325,843.913
2025-10-14 10:39:01 UTC,1000,38325,457.507
2025-10-14 11:58:52 UTC,10000,38325,4674.522
2025-10-14 13:43:34 UTC,500000,100,64.762
2025-10-14 13:55:10 UTC,1000000,100,184.830
2025-10-14 14:06:28 UTC,500000,100,96.284
2025-10-14 14:09:56 UTC,500000,100,104.709
2025-10-14 14:15:00 UTC,500000,100,147.122
2025-10-14 14:18:40 UTC,500000,100,125.014
2025-10-14 17:40:48 UTC,3000,38325,2082.272
2025-10-15 09:16:57 UTC,100000,38325,55562.089
2025-10-15 15:32:32 UTC,10000,38325,6399.724
2025-10-16 06:12:44 UTC,1000,38325,615.458
2025-10-16 22:53:29 UTC,100000,38325,27535.295
2025-10-18 01:01:05 UTC,100000,38325,25985.126
