parameter,region,before,proposed,multiplier,change_percent,reason
demo_oceania_age_neg24000_neg20000,oceania,0.00065010321,0.000654535732,1.0068181819929792378659382407910276277515996267731,0.6818181992979237865938240791027627751599626773100,proportional redistribution
demo_oceania_age_neg20000_neg16000,oceania,0.00066591048,0.000670450779,1.0068181822277372778395077969038721240728934015275,0.6818182227737277839507796903872124072893401527500,proportional redistribution
demo_oceania_age_neg16000_neg12000,oceania,0.000488928877,0.000492262483,1.0068181818600172392762966217681595435812231642845,0.6818181860017239276296621768159543581223164284500,proportional redistribution
demo_oceania_age_neg12000_neg8000,oceania,0.000496874751,0.000500262533,1.0068181810268721020199313770322774964268611024672,0.6818181026872102019931377032277496426861102467200,proportional redistribution
demo_oceania_age_neg8000_neg4000,oceania,0.000489198929,0.000492534376,1.0068181813210797115216088300144254812953607263519,0.6818181321079711521608830014425481295360726351900,proportional redistribution
demo_oceania_age_neg4000_0,oceania,0.00022,0.0001870,0.85,-15.00,older-cohort reduction
demo_oceania_age_0_4000,oceania,0.00044,0.00044,1,0,unchanged
demo_oceania_age_4000_8000,oceania,0.00044,0.00044,1,0,unchanged
demo_oceania_age_8000_12000,oceania,0.00044,0.00044,1,0,unchanged
demo_oceania_age_12000_16000,oceania,0.00022,0.00022,1,0,unchanged
demo_oceania_age_16000_20000,oceania,0.00022,0.00022,1,0,unchanged
demo_oceania_age_20000_24000,oceania,0.00022,0.00022,1,0,unchanged
demo_oceania_age_24000_28000,oceania,0.00022,0.00022,1,0,unchanged
demo_oceania_age_28000_32000,oceania,0.00022,0.00022,1,0,unchanged
